ACTUALNAME,DESTINATIONLOOKUP
A KODURU,A KODURU
ADARSH NAGAR,OLD DAIRY FARM
ADARSH NAGAR,ADARSH NAGAR
ADDURU,ADDURU
ADIVIVARAM,ADIVIVARAM
AGANAMPUDI,AGANAMPUDI
AGANAMPUDI TOLLGATE,AGANAMPUDI
AGRAHARAM,AGRAHARAM
AJANAGIRI,AJANAGIRI
AJANAGIRI COLONY,AJANAGIRI
AKKAYYAPALEM,AKKAYYAPALEM
AKKAYYAPALEM HIGHWAY,AKKAYYAPALEM
AKKIREDDIPALEM,AKKIREDDIPALEM
ALLIPURAM,ALLIPURAM
AMAL COLLEGE JUNCTION,AMAL COLLEGE JUNCTION
AMANAM,AMANAM
AMBEDKAR COLONY,AMBEDKAR COLONY
AMBEDKAR NAGAR,AMBEDKAR NAGAR
AMERICAN HOSPITAL,AMERICAN HOSPITAL
AMG SCHOOL/ COLLEGE,AMG SCHOOL/ COLLEGE
AMRUTAPURAM,AMRUTAPURAM
ANAKAPALLE - RTC COMPLEX,ANAKAPALLE - RTC COMPLEX
ANAKAPALLE BYPASS ROAD,ANAKAPALLE BYPASS ROAD
ANAKAPALLE COURT (NEAR VIZIANAGARAM ROAD),ANAKAPALLE COURT (NEAR VIZIANAGARAM ROAD)
ANAKAPALLE FOUR ROAD JUNCTION,ANAKAPALLE FOUR ROAD JUNCTION
ANANDAPURAM,ANANDAPURAM
ANANDAPURAM JUNCTION,ANANDAPURAM
ANANTAPURAM (NEAR DEVARAPALLI),ANANTAPURAM (NEAR DEVARAPALLI)
ANANTHAVARAM,ANANTHAVARAM
ANANTHAVARAM CENTRE,ANANTHAVARAM 
ANDHRA UNIVERSITY IN GATE,ANDHRA UNIVERSITY
ANDHRA UNIVERSITY IN GATE,ANDHRA UNIVERSITY IN GATE
ANDHRA UNIVERSITY OUT GATE,ANDHRA UNIVERSITY
ANDHRA UNIVERSITY OUT GATE,ANDHRA UNIVERSITY OUT GATE
ANDHRA UNIVERSITY REGISTER OFFICE,ANDHRA UNIVERSITY
ANDHRA UNIVERSITY REGISTER OFFICE,ANDHRA UNIVERSITY REGISTER OFFICE
ANITS COLLEGE,ANITS COLLEGE
ANJALI MURTHY NAGAR 3RD LINE,ANJALI MURTHY NAGAR 3RD LINE
ANKAJOSYULAPALEM,ANKAJOSYULAPALEM
ANTHAKAPALLI,ANTHAKAPALLI
APHB COLONY MAIN,APHB COLONY MAIN
APPANNAPALEM (KRISHNAMPALEM),APPANNAPALEM (KRISHNAMPALEM)
APPANNAPALEM (NEAR GOSTHANI RIVER),APPANNAPALEM (NEAR GOSTHANI RIVER)
APPANNAPALEM (SIMHAPURI COLONY),APPANNAPALEM (SIMHAPURI COLONY)
APPIKONDA,APPIKONDA
APPUGHAR,APPUGHAR
APPUGHAR(MVP MAINROAD JUNCTION),APPUGHAR
AQJ COLLEGE,AQJ COLLEGE
ARDHANNAPALEM,ARDHANNAPALEM
ARILOVA,ARILOVA
ARILOVA COLONY,ARILOVA
ARIPAKA,ARIPAKA
ARLI,ARLI
ARLI JUNCTION,ARLI
ARTS COLLEGE,ARTS COLLEGE
ARUKU - RTC COMPLEX,ARUKU - RTC COMPLEX
