ACTUALNAME,DESTINATIONLOOKUP,
A KODURU,A KODURU,"Insert into destination_lookup (actualname, destinationlookup) values ('A KODURU','A KODURU');"
ADARSH NAGAR,OLD DAIRY FARM,"Insert into destination_lookup (actualname, destinationlookup) values ('ADARSH NAGAR','OLD DAIRY FARM');"
ADARSH NAGAR,ADARSH NAGAR,"Insert into destination_lookup (actualname, destinationlookup) values ('ADARSH NAGAR','ADARSH NAGAR');"
ADDURU,ADDURU,"Insert into destination_lookup (actualname, destinationlookup) values ('ADDURU','ADDURU');"
ADIVIVARAM,ADIVIVARAM,"Insert into destination_lookup (actualname, destinationlookup) values ('ADIVIVARAM','ADIVIVARAM');"
AGANAMPUDI,AGANAMPUDI,"Insert into destination_lookup (actualname, destinationlookup) values ('AGANAMPUDI','AGANAMPUDI');"
AGANAMPUDI TOLLGATE,AGANAMPUDI,"Insert into destination_lookup (actualname, destinationlookup) values ('AGANAMPUDI TOLLGATE','AGANAMPUDI');"
AGRAHARAM,AGRAHARAM,"Insert into destination_lookup (actualname, destinationlookup) values ('AGRAHARAM','AGRAHARAM');"
AJANAGIRI,AJANAGIRI,"Insert into destination_lookup (actualname, destinationlookup) values ('AJANAGIRI','AJANAGIRI');"
AJANAGIRI COLONY,AJANAGIRI,"Insert into destination_lookup (actualname, destinationlookup) values ('AJANAGIRI COLONY','AJANAGIRI');"
AKKAYYAPALEM,AKKAYYAPALEM,"Insert into destination_lookup (actualname, destinationlookup) values ('AKKAYYAPALEM','AKKAYYAPALEM');"
AKKAYYAPALEM HIGHWAY,AKKAYYAPALEM,"Insert into destination_lookup (actualname, destinationlookup) values ('AKKAYYAPALEM HIGHWAY','AKKAYYAPALEM');"
AKKIREDDIPALEM,AKKIREDDIPALEM,"Insert into destination_lookup (actualname, destinationlookup) values ('AKKIREDDIPALEM','AKKIREDDIPALEM');"
ALLIPURAM,ALLIPURAM,"Insert into destination_lookup (actualname, destinationlookup) values ('ALLIPURAM','ALLIPURAM');"
AMAL COLLEGE JUNCTION,AMAL COLLEGE JUNCTION,"Insert into destination_lookup (actualname, destinationlookup) values ('AMAL COLLEGE JUNCTION','AMAL COLLEGE JUNCTION');"
AMANAM,AMANAM,"Insert into destination_lookup (actualname, destinationlookup) values ('AMANAM','AMANAM');"
AMBEDKAR COLONY,AMBEDKAR COLONY,"Insert into destination_lookup (actualname, destinationlookup) values ('AMBEDKAR COLONY','AMBEDKAR COLONY');"
AMBEDKAR NAGAR,AMBEDKAR NAGAR,"Insert into destination_lookup (actualname, destinationlookup) values ('AMBEDKAR NAGAR','AMBEDKAR NAGAR');"
AMERICAN HOSPITAL,AMERICAN HOSPITAL,"Insert into destination_lookup (actualname, destinationlookup) values ('AMERICAN HOSPITAL','AMERICAN HOSPITAL');"
AMG SCHOOL/ COLLEGE,AMG SCHOOL/ COLLEGE,"Insert into destination_lookup (actualname, destinationlookup) values ('AMG SCHOOL/ COLLEGE','AMG SCHOOL/ COLLEGE');"
AMRUTAPURAM,AMRUTAPURAM,"Insert into destination_lookup (actualname, destinationlookup) values ('AMRUTAPURAM','AMRUTAPURAM');"
ANAKAPALLE - RTC COMPLEX,ANAKAPALLE - RTC COMPLEX,"Insert into destination_lookup (actualname, destinationlookup) values ('ANAKAPALLE - RTC COMPLEX','ANAKAPALLE - RTC COMPLEX');"
