1,10K,Kailasagiri,Visalakshi Nagar (Near Police Quarters),1,1
1,10K,Visalakshi Nagar (Near Police Quarters),Jodugulla Palem,1,2
1,10K,Jodugulla Palem,Tenneti Park (On Request),1,3
1,10K,Tenneti Park (On Request),Kailasagiri Rope Way,1,4
1,10K,Kailasagiri Rope Way,Appughar,1,5
1,10K,Appughar,Lawsons Bay (Towards Vuda Park),1,6
1,10K,Lawsons Bay (Towards Vuda Park),Kurupam Circle,1,7
1,10K,Kurupam Circle,Waltair Depot,1,8
1,10K,Waltair Depot,East Point Colony,1,9
1,10K,East Point Colony,Vuda Park,1,10
1,10K,Vuda Park,Vuda Park (The Park Hotel),1,11
1,10K,Vuda Park (The Park Hotel),R K Beach - Submarine,1,12
1,10K,R K Beach - Submarine,R K Beach ,1,13
1,10K,R K Beach ,Collector Office ,1,14
1,10K,Collector Office ,KGH ,1,15
1,10K,KGH ,KGH Out-Patient GATE,1,16
1,10K,KGH Out-Patient GATE,Lepakshi,1,17
1,10K,Lepakshi,Jagadamba ,1,18
1,10K,Jagadamba ,District Judge Court,1,19
1,10K,District Judge Court,Jail Road Junction,1,20
1,10K,Jail Road Junction,Jail Road,1,21
1,10K,Jail Road,"RTC Complex (25P,25D/V,60,60C,52D)",1,22
1,10K,"RTC Complex (25P,25D/V,60,60C,52D)","RTC Complex (6A, 400)",1,23
1,10K,"RTC Complex (6A, 400)",Allipuram,1,24
1,10K,Allipuram,Waltair Railway Station (Station Side),1,25
1,10K,Waltair Railway Station (Station Side),Dondaparthy ,2,1
1,10K,Dondaparthy ,RTC Complex LIC Building,2,2
1,10K,RTC Complex LIC Building,Two Town (Women's College),2,3
1,10K,Two Town (Women's College),Daba Gardens,2,4
1,10K,Daba Gardens,Jagadamba ,2,5
1,10K,Jagadamba ,Chandana Bros ,2,6
1,10K,Chandana Bros ,Masjid ,2,7
1,10K,Masjid ,KGH Out-Patient GATE,2,8
1,10K,KGH Out-Patient GATE,KGH ,2,9
1,10K,KGH ,Collector Office ,2,10
1,10K,Collector Office ,R K Beach (Kali Temple),2,11
1,10K,R K Beach (Kali Temple),Vuda Park (The Park Hotel),2,12
1,10K,Vuda Park (The Park Hotel),Vuda Park,2,13
1,10K,Vuda Park,East Point Colony,2,14
1,10K,East Point Colony,Waltair Depot,2,15
1,10K,Waltair Depot,Kurupam Circle,2,16
1,10K,Kurupam Circle,Lawsons Bay,2,17
1,10K,Lawsons Bay,Appughar,2,18
1,10K,Appughar,Kailasagiri Rope Way,2,19
1,10K,Kailasagiri Rope Way,Tenneti Park (On Request),2,20
1,10K,Tenneti Park (On Request),Jodugulla Palem,2,21
1,10K,Jodugulla Palem,Visalakshi Nagar (Near Police Quarters),2,22
1,10K,Visalakshi Nagar (Near Police Quarters),Kailasagiri,2,23
